user,Text
dante3346,@dannyb0y6 @trucifer_x I don't know how old you are but in 93 I was 12 so I remember that run like it was yesterday… https://t.co/W6qBAd2ZLx
67dmy19,@NewsNationNow So not a sport.
Lautaro_Arribas,"RT @MarianoReyOK: Matías Ledesma en ""La 94 Sport"": ""Tuve al Chino Lara y a Migliardi en reserva y a Seba Sibelli en 9na. En inferiores siem…"
AileenAdrienne,"RT @BBCSport: Paul Pogba ""has to change teams"" in the next transfer window, according to his agent.

https://t.co/uXrVcSYXji https://t.co/t…"
mali_hussein,"RT @SunChelsea: Meet Marina Granovskaia, the most powerful woman in football who runs Chelsea for absent owner Roman Abramovich https://t.c…"
ottcaplax,"RT @chucknchuck: It’s taken me awhile to get to this point in feeling comfortable enough to talk about my depression, but I spent enough ti…"
Sport_News01,NBA Changes Resting Policies for Non-Nationally Televised Games amid COVID-19 https://t.co/RVZLuHoIKu
Sport_News01,UNLV QB Max Gilliam Apologizes for Eating Sushi Off Naked Model on 'Below Deck' https://t.co/9LDSEMe1bI
RTSsport,Paris 2024: le CIO valide l'arrivée du breakdance https://t.co/w85uxUvVUE https://t.co/bPI1rPGoCQ
Sport_News01,MLB Umpire Brian O'Nora Among 14 Arrested in Ohio Human Trafficking Sting https://t.co/yNy1YDyB7b
SportyWrap,"This week's newsletter has hit inboxes, with lots of #WomenInSport content, including a Women's Agenda podcast with… https://t.co/6rHLvZ4jnD"
ReplacementKate,"RT @ReutersSports: Breakdancing cleared its final hurdle to feature in the Paris 2024 Games on Monday, bringing the wholly original, electr…"
ebenesport,"Actualités - BR - `` Pour le moment, le Bayern vs Dortmund est supérieur au Real vs Barcelone '', déclare Rummenigg… https://t.co/FwbHdZkG5f"
sandeep28975,"RT @AslamShaikh_MLA: सिंधुदुर्ग, रत्नागिरी, रायगडच्या जलक्रिडा (Water Sport ) व्यवसायिकांनी आज माझी मंत्रालयातील दालनात भेट घेऊन आपल्या माग…"
knightfloo,"RT @BadmintonTalk: BREAKING: @BadmintonTalk becomes 2020 fifth most talked Twitter sport account in Indonesia, behind @ManUtd @LFC @FCBarce…"
hsaini_abdel,"@dw_learngerman Wenn ich mehr Zeit hätte, WÜRDE Sport treiben."
mali_hussein,RT @SunChelsea: Superstitious Sarri denied Chelsea stars from seeing kids as ‘scientist told him 3pm training sessions were best’ https://t…
_LimaGustavo,"RT @SaoPauloFC: 🎥 Bastidores: São Paulo 1x0 Sport

O trabalho em equipe, o gol marcado por Luciano, a vitória em casa e mais um passo dado…"
detiksport,"Eks pemain Juventus, Claudio Marchisio, bicara soal situasi Miralem Pjanic di Barcelona. Dia menyarankan agar Barce… https://t.co/CYXFv05IT8"
itschristuratto,"Idk how this works but anyway, let’s try! I’ve been trying to find the best #workout app, as you might guess I fail… https://t.co/thTjBWTrf2"
BusinessLiveSA,https://t.co/upEP9geIU1
Eyeswideopen69,"Kneeling arm-in-arm would be better!

https://t.co/q6sigRUJMa"
sport_survey,#Ucl
SPORT_JAPAN,"🇮🇹レオナルド・ボヌッチ

🔥メッシ対ロナウドの戦いを前に、ユヴェントスのCBボヌッチがコメント。

🗣️「2人の宇宙人にスポットライトが...」

#スポルト

https://t.co/5gFceU8f4z"
ne2ss___,"RT @donachena: Mon hygiène de vie est horrible: un repas par jour, je dors peu ou trop, pas de sport"
renerenrh,"RT @BadmintonTalk: BREAKING: @BadmintonTalk becomes 2020 fifth most talked Twitter sport account in Indonesia, behind @ManUtd @LFC @FCBarce…"
iamaracingnut,"RT @CHMetallicorey: Al Hamilton was many things to many people. Some loved him, some hated him. But there is absolutely no debate, he raise…"
biashuwang,"RT @BadmintonTalk: BREAKING: @BadmintonTalk becomes 2020 fifth most talked Twitter sport account in Indonesia, behind @ManUtd @LFC @FCBarce…"
sport_infinite,RT @gachikawacats: わしもやってー(=^-ω-^=) https://t.co/jfbsbv3ecg
anissa_freitas,"RT @donachena: Mon hygiène de vie est horrible: un repas par jour, je dors peu ou trop, pas de sport"
iansg8,"RT @BadmintonTalk: BREAKING: @BadmintonTalk becomes 2020 fifth most talked Twitter sport account in Indonesia, behind @ManUtd @LFC @FCBarce…"
fromthewonni,@ElaineM11584892 That’s not for real surly that’s not a sport Give me strength this cannot be for real
Pratixa43236067,"RT @i_B3li3ve: @KirenRijiju @akshaykumar @narendramodi @KirenRijiju sir, we have lot of respect for you &amp; @narendramodi Ji. Please donot di…"
HemseyHeather,RT @KTNV: #Breakdancing has been confirmed as an official #Olympic sport. https://t.co/vJyJuJsFr7
95until141EL,"RT @BadmintonTalk: BREAKING: @BadmintonTalk becomes 2020 fifth most talked Twitter sport account in Indonesia, behind @ManUtd @LFC @FCBarce…"
LawrieWoodman,"Excellent article. Very good advice in ""8-point survival guide"" from very experienced sport psychologist Jacqui Lou… https://t.co/dzp6me5Dr7"
maya_enbot,"Hey, um, kiddy-o! What's yer name, sport?"
GdnAusSport,Australian sport offers celebrations of Aboriginal 'culture' instead of standing up for Black lives | Chelsea Bond https://t.co/ufo82PKKaN
ZefersonQ,"RT @BadmintonTalk: BREAKING: @BadmintonTalk becomes 2020 fifth most talked Twitter sport account in Indonesia, behind @ManUtd @LFC @FCBarce…"
TheonlyVaughn21,RT @koolbopp: Not arguing wit nobody who don’t know the sport niggas say anything
valemadridm,"RT @piaisabellaaa: Holaa estoy vendiendo un Apple Watch Series 6. 44mm Blue Aluminum Case, Deep Navy Blue Sport  a 350$ es de paquete la ca…"
RajatSharmaa2,@CMOfficeUP @myogiadityanath Sir ma kesan hu pr m bharat band ko sport nhi kruga
sihatwalafiat_,extreme sport here we go 🚗💨
ConnieStrance,@MikeyZamudio and michael vick showed his and don't say dog it was dogs anyone who tortures animals for sport is no… https://t.co/b1W0skAcPa
eyrabp,RT @Cutiesellthings: @eyrabp @byciaociao Thank you♥️Boleh tengok banyak movie dan sport channel dengan harga serendah RM 16😍 Hanya perlukan…
IIbouni,"RT @donachena: Mon hygiène de vie est horrible: un repas par jour, je dors peu ou trop, pas de sport"
GrassleyDecoder,@bobvanderplaats g00d sPort https://t.co/EQGi0GJdyY
high5geo,@Motorsport He’s absolutely right. You cannot tell me he is not 1 of the 20 best drivers right now. Heck I’d argue… https://t.co/a8CqopCZQk
cesjones2502,@Record_Sport @ScottBurns75 Not exactly going to admit it is he fs
1NewsSportNZ,"Steven Adams adjusting to New Orleans life, 'dabbling' in city's renowned cuisine scene
https://t.co/xtsTuuPIpF https://t.co/vcObpRn2TH"
xpozi,RT @JTHVerhovek: Breakdancing confirmed as Olympic sport for 2024 Paris games https://t.co/9KRnVMmDJK
tovendofilme,"RT @spfcestatistica: Para levar um gol, o São Paulo precisa sofrer 4.95 chutes certos do adversário. É a melhor média do Brasileirão.

Hoje…"
NickShepkowski,@nickhostetler is wrestling still not an Olympic sport or did they come to their senses and bring that back?  Mind-… https://t.co/8zx1oJN2MA
hiroyasugita,RT @GuardianAus: Australian sport offers celebrations of Aboriginal 'culture' instead of standing up for Black lives | Chelsea Bond https:/…
norrymore,"RT @Olympics: Breaking will make its Olympic Games debut, building on the success of the sport at the Youth Olympic Games Buenos Aires 2018…"
hkerr32,"RT @della79: To media deriding the inclusion of breakdancing in the Olympics &amp; asking why #netball isn't included, I look forward to your c…"
tovendofilme,"RT @spfcestatistica: Com a vitória sobre o Sport, o São Paulo chegou ao seu 16º jogo consecutivo sem derrota no Brasileirão e igualou a 2ª…"
jasongoncallves,"RT @SaoPauloFC: 🎥 Bastidores: São Paulo 1x0 Sport

O trabalho em equipe, o gol marcado por Luciano, a vitória em casa e mais um passo dado…"
akdnfvlfek,"RT @BadmintonTalk: BREAKING: @BadmintonTalk becomes 2020 fifth most talked Twitter sport account in Indonesia, behind @ManUtd @LFC @FCBarce…"
10_xenas,RT @totalBarca: SPORT - LET THE EXCITEMENT RETURN https://t.co/ekklYjtOnV
johncas336,RT @trueBillMasse: I often hear Major Sports Organizations say they are looking for the next “competitive advantage” in their sport. Lookin…
ScottEl12191536,"@the_ironsheik Wrestling isn't even a sport...it staged entertainment.
Don't even compare it to football."
learning_song,Quando era pequeno me lembro de assistir automobilismo argentino e também a #Nascar narrada por #EdgardMeloFilho -… https://t.co/eBfm4XylKl
MrIliesDr,"RT @donachena: Mon hygiène de vie est horrible: un repas par jour, je dors peu ou trop, pas de sport"
